chain,bin_start_utc,bin_index,bin_seconds,observed_transactions,excluding_identified_vote_system,coverage
solana,2026-09-14T12:00:00+00:00,0,30,110712,51130,complete
solana,2026-09-14T12:00:30+00:00,1,30,114162,48817,complete
solana,2026-09-14T12:01:00+00:00,2,30,108651,51028,complete
solana,2026-09-14T12:01:30+00:00,3,30,119583,53386,complete
solana,2026-09-14T12:02:00+00:00,4,30,115144,50762,complete
solana,2026-09-14T12:02:30+00:00,5,30,112494,50784,complete
solana,2026-09-14T12:03:00+00:00,6,30,111033,47338,complete
solana,2026-09-14T12:03:30+00:00,7,30,117593,52261,complete
solana,2026-09-14T12:04:00+00:00,8,30,113806,49429,complete
solana,2026-09-14T12:04:30+00:00,9,30,109898,45661,complete
bsc,2026-09-14T12:00:00+00:00,0,30,9497,9497,complete
bsc,2026-09-14T12:00:30+00:00,1,30,8068,8068,complete
bsc,2026-09-14T12:01:00+00:00,2,30,8656,8656,complete
bsc,2026-09-14T12:01:30+00:00,3,30,9024,9024,complete
bsc,2026-09-14T12:02:00+00:00,4,30,8699,8699,complete
bsc,2026-09-14T12:02:30+00:00,5,30,8555,8555,complete
bsc,2026-09-14T12:03:00+00:00,6,30,9412,9412,complete
bsc,2026-09-14T12:03:30+00:00,7,30,8845,8845,complete
bsc,2026-09-14T12:04:00+00:00,8,30,8872,8872,complete
bsc,2026-09-14T12:04:30+00:00,9,30,8806,8806,complete
base,2026-09-14T12:00:00+00:00,0,30,3636,3621,complete
base,2026-09-14T12:00:30+00:00,1,30,3456,3441,complete
base,2026-09-14T12:01:00+00:00,2,30,3245,3230,complete
base,2026-09-14T12:01:30+00:00,3,30,3564,3549,complete
base,2026-09-14T12:02:00+00:00,4,30,3527,3512,complete
base,2026-09-14T12:02:30+00:00,5,30,3872,3857,complete
base,2026-09-14T12:03:00+00:00,6,30,3079,3064,complete
base,2026-09-14T12:03:30+00:00,7,30,2762,2747,complete
base,2026-09-14T12:04:00+00:00,8,30,2846,2831,complete
base,2026-09-14T12:04:30+00:00,9,30,2458,2443,complete
