chain,platform,operation,execution_effect,decode_status,minute_index,minute_utc,record_count,distinct_transactions,coverage
bsc,four.meme,creation,committed,decoded,0,2026-09-14T12:00:00+00:00,4,4,complete
bsc,four.meme,creation,committed,decoded,1,2026-09-14T12:01:00+00:00,21,21,complete
bsc,four.meme,creation,committed,decoded,2,2026-09-14T12:02:00+00:00,15,15,complete
bsc,four.meme,creation,committed,decoded,3,2026-09-14T12:03:00+00:00,6,6,complete
bsc,four.meme,creation,committed,decoded,4,2026-09-14T12:04:00+00:00,9,9,complete
bsc,four.meme,trade,committed,decoded,0,2026-09-14T12:00:00+00:00,6,6,complete
bsc,four.meme,trade,committed,decoded,1,2026-09-14T12:01:00+00:00,16,16,complete
bsc,four.meme,trade,committed,decoded,2,2026-09-14T12:02:00+00:00,16,16,complete
bsc,four.meme,trade,committed,decoded,3,2026-09-14T12:03:00+00:00,8,8,complete
bsc,four.meme,trade,committed,decoded,4,2026-09-14T12:04:00+00:00,5,5,complete
bsc,four.meme,unknown,committed,unknown_layout,0,2026-09-14T12:00:00+00:00,6,6,complete
bsc,four.meme,unknown,committed,unknown_layout,1,2026-09-14T12:01:00+00:00,16,16,complete
bsc,four.meme,unknown,committed,unknown_layout,2,2026-09-14T12:02:00+00:00,16,16,complete
bsc,four.meme,unknown,committed,unknown_layout,3,2026-09-14T12:03:00+00:00,8,8,complete
bsc,four.meme,unknown,committed,unknown_layout,4,2026-09-14T12:04:00+00:00,5,5,complete
solana,pump.fun,creation,committed,decoded,0,2026-09-14T12:00:00+00:00,12,12,complete
solana,pump.fun,creation,committed,decoded,1,2026-09-14T12:01:00+00:00,12,12,complete
solana,pump.fun,creation,committed,decoded,2,2026-09-14T12:02:00+00:00,18,18,complete
solana,pump.fun,creation,committed,decoded,3,2026-09-14T12:03:00+00:00,9,9,complete
solana,pump.fun,creation,committed,decoded,4,2026-09-14T12:04:00+00:00,10,10,complete
solana,pump.fun,creation,not_committed,decoded,0,2026-09-14T12:00:00+00:00,2,2,complete
solana,pump.fun,creation,not_committed,decoded,1,2026-09-14T12:01:00+00:00,3,3,complete
solana,pump.fun,creation,not_committed,decoded,2,2026-09-14T12:02:00+00:00,1,1,complete
solana,pump.fun,creation,not_committed,decoded,3,2026-09-14T12:03:00+00:00,1,1,complete
solana,pump.fun,curve_complete,committed,decoded,0,2026-09-14T12:00:00+00:00,1,1,complete
solana,pump.fun,curve_complete,committed,decoded,2,2026-09-14T12:02:00+00:00,2,2,complete
solana,pump.fun,curve_complete,committed,decoded,4,2026-09-14T12:04:00+00:00,3,3,complete
solana,pump.fun,migration,unknown,decoded,0,2026-09-14T12:00:00+00:00,1,1,complete
solana,pump.fun,migration,unknown,decoded,2,2026-09-14T12:02:00+00:00,2,2,complete
solana,pump.fun,migration,unknown,decoded,4,2026-09-14T12:04:00+00:00,3,3,complete
solana,pump.fun,other.ClaimCashbackEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,9,8,complete
solana,pump.fun,other.ClaimCashbackEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,10,8,complete
solana,pump.fun,other.ClaimCashbackEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,8,8,complete
