chain,source_asset,target_asset,shared_addresses,union_addresses,jaccard
solana,solana:mainnet:So11111111111111111111111111111111111111112,solana:mainnet:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,49818,0.0
solana,solana:mainnet:So11111111111111111111111111111111111111112,solana:mainnet:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0,42953,0.0
solana,solana:mainnet:So11111111111111111111111111111111111111112,solana:mainnet:9dQunXVZoNZAiZCK2rA6yq1WLH6n7nBSPLjsLLW7pump,0,43183,0.0
solana,solana:mainnet:So11111111111111111111111111111111111111112,solana:mainnet:12DqvhKnLFV9uiGiQYJeAkSLS7eF5FiE5UE61vA1pump,0,40643,0.0
solana,solana:mainnet:So11111111111111111111111111111111111111112,solana:mainnet:iXNkw6ZzTd1iqzGwKnSmQBmnQejcERj1RkCX58Hpump,0,40371,0.0
solana,solana:mainnet:So11111111111111111111111111111111111111112,solana:mainnet:dEZjoi7HmgBHRiQhAduNRTAAZApJXFGttz3UAoVpump,0,40322,0.0
solana,solana:mainnet:So11111111111111111111111111111111111111112,solana:mainnet:Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,0,41250,0.0
solana,solana:mainnet:So11111111111111111111111111111111111111112,solana:mainnet:5xReA5QB1E1hikDA6ZsqLBvhzV18MGqWfcz2rsNzpump,0,41490,0.0
solana,solana:mainnet:So11111111111111111111111111111111111111112,solana:mainnet:DgnSpZRJUm597QHCTu1eTNfZUAMqR9knGDATw3sjpump,0,39538,0.0
solana,solana:mainnet:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solana:mainnet:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0,14325,0.0
solana,solana:mainnet:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solana:mainnet:9dQunXVZoNZAiZCK2rA6yq1WLH6n7nBSPLjsLLW7pump,0,14555,0.0
solana,solana:mainnet:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solana:mainnet:12DqvhKnLFV9uiGiQYJeAkSLS7eF5FiE5UE61vA1pump,0,12015,0.0
solana,solana:mainnet:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solana:mainnet:iXNkw6ZzTd1iqzGwKnSmQBmnQejcERj1RkCX58Hpump,0,11743,0.0
solana,solana:mainnet:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solana:mainnet:dEZjoi7HmgBHRiQhAduNRTAAZApJXFGttz3UAoVpump,0,11694,0.0
solana,solana:mainnet:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solana:mainnet:Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,0,12622,0.0
solana,solana:mainnet:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solana:mainnet:5xReA5QB1E1hikDA6ZsqLBvhzV18MGqWfcz2rsNzpump,0,12862,0.0
solana,solana:mainnet:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solana:mainnet:DgnSpZRJUm597QHCTu1eTNfZUAMqR9knGDATw3sjpump,0,10910,0.0
solana,solana:mainnet:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solana:mainnet:9dQunXVZoNZAiZCK2rA6yq1WLH6n7nBSPLjsLLW7pump,0,7690,0.0
solana,solana:mainnet:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solana:mainnet:12DqvhKnLFV9uiGiQYJeAkSLS7eF5FiE5UE61vA1pump,0,5150,0.0
solana,solana:mainnet:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solana:mainnet:iXNkw6ZzTd1iqzGwKnSmQBmnQejcERj1RkCX58Hpump,0,4878,0.0
solana,solana:mainnet:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solana:mainnet:dEZjoi7HmgBHRiQhAduNRTAAZApJXFGttz3UAoVpump,0,4829,0.0
solana,solana:mainnet:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solana:mainnet:Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,0,5757,0.0
solana,solana:mainnet:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solana:mainnet:5xReA5QB1E1hikDA6ZsqLBvhzV18MGqWfcz2rsNzpump,0,5997,0.0
solana,solana:mainnet:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solana:mainnet:DgnSpZRJUm597QHCTu1eTNfZUAMqR9knGDATw3sjpump,0,4045,0.0
solana,solana:mainnet:9dQunXVZoNZAiZCK2rA6yq1WLH6n7nBSPLjsLLW7pump,solana:mainnet:12DqvhKnLFV9uiGiQYJeAkSLS7eF5FiE5UE61vA1pump,0,5380,0.0
solana,solana:mainnet:9dQunXVZoNZAiZCK2rA6yq1WLH6n7nBSPLjsLLW7pump,solana:mainnet:iXNkw6ZzTd1iqzGwKnSmQBmnQejcERj1RkCX58Hpump,0,5108,0.0
solana,solana:mainnet:9dQunXVZoNZAiZCK2rA6yq1WLH6n7nBSPLjsLLW7pump,solana:mainnet:dEZjoi7HmgBHRiQhAduNRTAAZApJXFGttz3UAoVpump,0,5059,0.0
solana,solana:mainnet:9dQunXVZoNZAiZCK2rA6yq1WLH6n7nBSPLjsLLW7pump,solana:mainnet:Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,0,5987,0.0
solana,solana:mainnet:9dQunXVZoNZAiZCK2rA6yq1WLH6n7nBSPLjsLLW7pump,solana:mainnet:5xReA5QB1E1hikDA6ZsqLBvhzV18MGqWfcz2rsNzpump,0,6227,0.0
solana,solana:mainnet:9dQunXVZoNZAiZCK2rA6yq1WLH6n7nBSPLjsLLW7pump,solana:mainnet:DgnSpZRJUm597QHCTu1eTNfZUAMqR9knGDATw3sjpump,0,4275,0.0
solana,solana:mainnet:12DqvhKnLFV9uiGiQYJeAkSLS7eF5FiE5UE61vA1pump,solana:mainnet:iXNkw6ZzTd1iqzGwKnSmQBmnQejcERj1RkCX58Hpump,0,2568,0.0
solana,solana:mainnet:12DqvhKnLFV9uiGiQYJeAkSLS7eF5FiE5UE61vA1pump,solana:mainnet:dEZjoi7HmgBHRiQhAduNRTAAZApJXFGttz3UAoVpump,0,2519,0.0
solana,solana:mainnet:12DqvhKnLFV9uiGiQYJeAkSLS7eF5FiE5UE61vA1pump,solana:mainnet:Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,0,3447,0.0
solana,solana:mainnet:12DqvhKnLFV9uiGiQYJeAkSLS7eF5FiE5UE61vA1pump,solana:mainnet:5xReA5QB1E1hikDA6ZsqLBvhzV18MGqWfcz2rsNzpump,0,3687,0.0
solana,solana:mainnet:12DqvhKnLFV9uiGiQYJeAkSLS7eF5FiE5UE61vA1pump,solana:mainnet:DgnSpZRJUm597QHCTu1eTNfZUAMqR9knGDATw3sjpump,0,1735,0.0
solana,solana:mainnet:iXNkw6ZzTd1iqzGwKnSmQBmnQejcERj1RkCX58Hpump,solana:mainnet:dEZjoi7HmgBHRiQhAduNRTAAZApJXFGttz3UAoVpump,0,2247,0.0
solana,solana:mainnet:iXNkw6ZzTd1iqzGwKnSmQBmnQejcERj1RkCX58Hpump,solana:mainnet:Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,0,3175,0.0
solana,solana:mainnet:iXNkw6ZzTd1iqzGwKnSmQBmnQejcERj1RkCX58Hpump,solana:mainnet:5xReA5QB1E1hikDA6ZsqLBvhzV18MGqWfcz2rsNzpump,0,3415,0.0
