chain,asset_id,eligible_movement_count,participant_count,local_graph,gog_graph
solana,solana:mainnet:So11111111111111111111111111111111111111112,256294,39223,True,True
bsc,eip155:56:0xa3c791ce79ee140705830e96035dbb4fe8324444,8,8,True,True
solana,solana:mainnet:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,42105,10595,False,True
solana,solana:mainnet:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,11216,3730,False,True
solana,solana:mainnet:9dQunXVZoNZAiZCK2rA6yq1WLH6n7nBSPLjsLLW7pump,4669,3960,False,True
solana,solana:mainnet:12DqvhKnLFV9uiGiQYJeAkSLS7eF5FiE5UE61vA1pump,4378,1420,False,True
solana,solana:mainnet:iXNkw6ZzTd1iqzGwKnSmQBmnQejcERj1RkCX58Hpump,4028,1148,False,True
solana,solana:mainnet:dEZjoi7HmgBHRiQhAduNRTAAZApJXFGttz3UAoVpump,3682,1099,False,True
solana,solana:mainnet:Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,3552,2027,False,True
solana,solana:mainnet:5xReA5QB1E1hikDA6ZsqLBvhzV18MGqWfcz2rsNzpump,2781,2267,False,True
solana,solana:mainnet:DgnSpZRJUm597QHCTu1eTNfZUAMqR9knGDATw3sjpump,2777,315,False,True
bsc,eip155:56:0x510ba20014ef1ac0dd90555e9ca138411ae04444,7,7,False,True
bsc,eip155:56:0x6d485f5be09eb926d42cec5c7f904150bc774444,6,6,False,True
bsc,eip155:56:0x718864d5c63b74c6dcf57ee0dee6bbee3e704444,6,7,False,True
bsc,eip155:56:0xd4c759630467cac11bfd51600ced9b685be4ffff,4,4,False,True
bsc,eip155:56:0xe2e8fe74d519af72a51d1edd8e76b1b5d5e3ffff,3,3,False,True
bsc,eip155:56:0x0963cae3b3589f9f0cc67411171df4c540d9ffff,2,3,False,True
bsc,eip155:56:0x119c277e147bc5d899889db3520f70968277ffff,2,3,False,True
bsc,eip155:56:0x49f342a101b1cd3cc766017ba4c2b1d481f0ffff,2,3,False,True
bsc,eip155:56:0x4e083a3fc15bc537fa8273a4e624ff6b247dffff,2,3,False,True
