launch_record_id,object_id,address_or_mint,request_id_declared,creation_tx_id,chain_event_time_utc,coverage_state
launch:a67eff1f75885bf63810662d,eip155:56:0x0963cae3b3589f9f0cc67411171df4c540d9ffff,0x0963cae3b3589f9f0cc67411171df4c540d9ffff,102813512,eip155:56:tx:0x65f02a1bba1d17852c023d0741ee34d41c3da5e7d266e763d1339bcc478129a1,2026-09-14T12:00:23Z,access_restricted_here
launch:f6086f5f4ffe3bbf51ab2c85,eip155:56:0x20ed701701ec52064049e1968ff76adc94ceffff,0x20ed701701ec52064049e1968ff76adc94ceffff,102813514,eip155:56:tx:0x27ee91aeaa4a30c8971b9625ac0323351b2440164a5a1ecf67d95bdafaf5d811,2026-09-14T12:00:43Z,not_attempted
launch:fe6106de2713d0230c60bc10,eip155:56:0xee214c59c074ddba6abb722c33abae10238effff,0xee214c59c074ddba6abb722c33abae10238effff,102813515,eip155:56:tx:0xd470d423f52b551a3afbe2208d98e12a7b60810f8f7bb12043a56f2d57abd3c4,2026-09-14T12:00:53Z,not_attempted
launch:fdb1c4ff0594dd778deb5b45,eip155:56:0x7d77b7b517780d96bc508929683aff274071ffff,0x7d77b7b517780d96bc508929683aff274071ffff,102813517,eip155:56:tx:0xd1b9dcf0c958dcbc8674209b749cb27b71f687c611c26f28eb41ccec4ba3ad3c,2026-09-14T12:00:59Z,not_attempted
launch:9caad4a44fd73b401dee28f0,eip155:56:0x6f3e69b1efbbff961dddd7f0dca146c98757ffff,0x6f3e69b1efbbff961dddd7f0dca146c98757ffff,102813518,eip155:56:tx:0xcdbf80b560ee8ec18e2c1226fb35b8097c4e2deb662cf2254b214cea74f2cd10,2026-09-14T12:01:00Z,not_attempted
launch:b7b549bec1e06158c0a77854,eip155:56:0x6454a5284c4aeb8f7d6a4f79eb1f5883f426ffff,0x6454a5284c4aeb8f7d6a4f79eb1f5883f426ffff,102813519,eip155:56:tx:0xd49357c0714e152d4bc8b3f01af6c859785f3864fa612d3d1ded33810d75cfd9,2026-09-14T12:01:16Z,not_attempted
launch:8fadf2cfe0947d678957fce3,eip155:56:0x4be7ed502c15a35fda2d3267113923da08f6ffff,0x4be7ed502c15a35fda2d3267113923da08f6ffff,102813520,eip155:56:tx:0x2c8edccad9f6b28a9ae3866f886c095b989cef808ea67022dc12438f939c688d,2026-09-14T12:01:26Z,not_attempted
launch:cd64698ed2b260e34a9b3091,eip155:56:0x530f4582af8afe1a0c1da0f7071944c1fdf9ffff,0x530f4582af8afe1a0c1da0f7071944c1fdf9ffff,102813521,eip155:56:tx:0xfb2fc01fc344c4828194855c990f07810da2d2ec74a08c830ce0fb0d181073a4,2026-09-14T12:01:27Z,not_attempted
launch:d5f1c32d77642fcbbb33c830,eip155:56:0x6b69086b2ef4757dba14c49c9eace2b88552ffff,0x6b69086b2ef4757dba14c49c9eace2b88552ffff,102813522,eip155:56:tx:0xe1044ff1b334cc42924c8e82c7fcf925ce42393d9c0eab7af8511e068e0756e5,2026-09-14T12:01:35Z,not_attempted
launch:a8f4cdabec2a8e9f19a0792e,eip155:56:0x49f342a101b1cd3cc766017ba4c2b1d481f0ffff,0x49f342a101b1cd3cc766017ba4c2b1d481f0ffff,102813523,eip155:56:tx:0x36706c0f4965a7ada4ac5ed8c7841cf04c7bb575a5a87f4827374df792497de2,2026-09-14T12:01:42Z,not_attempted
launch:46ab750e2dd281b90aaee4d1,eip155:56:0x2fcf6d9dcd152bce946a771a377af10ce0b0ffff,0x2fcf6d9dcd152bce946a771a377af10ce0b0ffff,102813524,eip155:56:tx:0x4ab4b726e412cecb77f2db58a71d406d89fc62927ea1d25bdb352a90b727f9c8,2026-09-14T12:01:42Z,not_attempted
launch:8726247e10a8d9c6f49adc1a,eip155:56:0x083ca9166edff3ef47b7546556d6e68e612dffff,0x083ca9166edff3ef47b7546556d6e68e612dffff,102813525,eip155:56:tx:0x6232980206bffe8614d5a41513435549ae23cee08d6b7ec643b9b93efe84c79b,2026-09-14T12:01:45Z,not_attempted
launch:12e547f4acaf45c2179ac605,eip155:56:0xe2e8fe74d519af72a51d1edd8e76b1b5d5e3ffff,0xe2e8fe74d519af72a51d1edd8e76b1b5d5e3ffff,102813526,eip155:56:tx:0x94ec1b9fb62ba5359dedfbb8f18f86e4d50894b26286af01ea2af0962b3a33c7,2026-09-14T12:01:47Z,not_attempted
launch:c401bc81711370e3ffe681eb,eip155:56:0x314c11c80e50fa74eecea5adebca0509ef91ffff,0x314c11c80e50fa74eecea5adebca0509ef91ffff,102813528,eip155:56:tx:0x27c7eb08f4d4ced12cca508db69f85038998ba94b3422afbdddfdfef12a3a2ee,2026-09-14T12:01:49Z,not_attempted
launch:cb36219371214fe9390d0089,eip155:56:0xe83649974364827133fd88ef7793a08eb33bffff,0xe83649974364827133fd88ef7793a08eb33bffff,102813530,eip155:56:tx:0xf47bd89ce3966307d4767508cfaed74ce0c0953f63bc997851ee3be7ed1e3e41,2026-09-14T12:01:49Z,not_attempted
launch:b4c7c2694c8d83f2c8e5397a,eip155:56:0x7f448cf0d146e458e9be15562cf401c6863dffff,0x7f448cf0d146e458e9be15562cf401c6863dffff,102813531,eip155:56:tx:0x520887bec9fdc7eda1247eb0c70279985172e408187b0001280963038000b79d,2026-09-14T12:01:51Z,not_attempted
launch:36fdf87c1fc65bed0461e3e5,eip155:56:0xa840a22cc9c6e2baf9372786592bb2581f0dffff,0xa840a22cc9c6e2baf9372786592bb2581f0dffff,102813537,eip155:56:tx:0x3899d1c708e89d754f2938895bac2f45601bd7d390978f2c65b630d22e671413,2026-09-14T12:01:52Z,not_attempted
